id,lnval,v_out_b,ber_y2k,lnC_raw_zero,lnL,ost,pcwork,ums03,mkost_vh,branche1,branche2,branche3,branche4,branche5,branche6,branche7,branche8,branche9,branche10,branche11,branche12,branche13,branche14
144,4.8684297,1,1,1.7937112,2.47458,1,66,939.97064,.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,-999,0,0,4.2384152,3.2927768,0,60,-999,.30000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0
146,-999,0,1,7.152986,6.0713902,0,10,106419.34,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
147,-999,0,0,3.861001,3.8948154,0,100,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148,-999,0,0,-999,7.6015854,0,10,-999,-999,0,0,0,1,0,0,0,0,0,0,0,0,0,0
149,4.5042095,0,1,7.8969235,4.7491536,0,15,14635.122,.40000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,3.9138916,1,0,3.7282591,4.6297717,0,20,7097.395,.47999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0
151,4.5494037,0,0,9.0088472,4.9355206,0,30,148694.27,.80000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0
152,4.0253391,0,0,6.717289,3.8416247,1,30,6414.2402,.40000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0
153,3.5158195,0,1,4.6714873,5.4460597,1,5,6799.5996,.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,3.5023749,0,0,0,3.705265,0,30,2557.1951,.30000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0
155,5.498951,0,0,8.3432131,4.3808737,0,-999,11338.342,.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156,-999,0,0,9.2578001,5.7529011,0,30,-999,.60000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0
157,5.7689981,0,0,5.29772,.99945819,0,100,1325.6417,.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,5.1403489,0,0,6.664866,4.0518146,0,65,36218.07,.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
159,5.4818959,1,1,5.3604231,1.5256711,0,80,1035.4929,.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160,3.7700171,1,1,4.2509956,2.943974,1,12,481.6796,.34999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0
161,5.2629719,0,1,3.6481736,1.3689846,0,20,2584.4834,.80000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0
162,3.8251944,1,1,4.0167418,4.547473,0,5,3680.5273,.40000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,4.9951749,0,1,4.8722734,0,0,100,534.67328,.80000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0
164,4.1147318,1,1,5.0670214,4.1123328,0,1,9606,.62,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165,3.9560013,0,1,5.8243127,5.02356,1,78,46404.359,.80000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0
166,-999,0,1,1.8379878,3.6076968,0,20,4165.7173,-999,0,0,0,0,0,0,1,0,0,0,0,0,0,0
167,-999,0,-999,-999,5.6229997,0,55,-999,-999,0,0,0,0,0,0,1,0,0,0,0,0,0,0
168,-999,0,0,-999,4.9503479,1,30,41445.105,-999,0,1,0,0,0,0,0,0,0,0,0,0,0,0
169,5.0235672,1,1,7.2517228,4.6121578,0,40,20829.203,.72000003,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170,4.9311805,1,0,6.6784663,4.9895053,0,15,21177.609,.050000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0
171,4.4246783,1,1,6.6295543,5.9221191,0,60,47277.465,.34999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0
172,4.1394844,0,1,5.7634525,5.9776096,1,33,30999.502,.63,0,0,0,0,1,0,0,0,0,0,0,0,0,0
173,3.3091843,1,0,4.0710082,4.2585554,0,30,4979.5967,.60000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0
